report_date,egp_usd_rate,cbe_corridor_rate,revenue,cogs,gross_profit,operating_expenses,ebitda,ebit,interest_expense,net_income,trade_receivables_total,inventory,accounts_payable_total,trade_receivables_usd,accounts_payable_usd,cash_total_egp_eq,cash_usd,short_term_debt,long_term_debt,total_debt,current_assets,total_assets,total_liabilities,total_equity,retained_earnings,operating_cash_flow,principal_repayments,monthly_imports_usd
1/31/2020,15.65276603,0.0925,9634919.571,6742994.351,2891925.22,1498646.16,1393279.06,1193279.06,510416.6667,529218.3547,14452379.36,13485988.7,6742994.351,2167856.903,4045796.611,1445237.936,289047.5871,20000000,30000000,50000000,29383605.99,49383605.99,56742994.35,-7359388.357,-5887510.686,1114623.248,500000,258471.6722
2/29/2020,15.77658029,0.0925,9183320.985,6430564.375,2752756.609,1540386.374,1212370.235,1012370.235,523393.3616,378957.077,13982514.15,12824797.88,6539556.992,2097377.123,3923734.195,1377498.148,275499.6295,20508474.58,30762711.86,51271186.44,28184810.18,48184810.18,57810743.43,-9625933.252,-7700746.601,969896.1881,512711.8644,244561.1504
3/31/2020,15.70762059,0.0925,10518378.62,7363120.305,3155258.31,1576500.717,1578757.593,1378757.593,536370.0565,652850.3406,16252974.87,14643041.51,7612717.604,2437946.23,4567630.562,1577756.792,315551.3585,21016949.15,31525423.73,52542372.88,32473773.17,52473773.17,60155090.49,-7681317.315,-6145053.852,1263006.074,525423.7288,281256.6142
4/30/2020,15.76209601,0.0925,13372592.7,9363459.43,4009133.274,1616322.351,2392810.923,2192810.923,549346.7514,1273684.733,20965505.51,18568216.16,9839567.536,3144825.827,5903740.522,2005888.906,401177.7811,21525423.73,32288135.59,53813559.32,41539610.57,61539610.57,63653126.86,-2113516.285,-1690813.028,1914248.739,538135.5932,356429.4784
5/31/2020,15.72719618,0.0925,13374498.8,9363307.552,4011191.247,1653401.153,2357790.093,2157790.093,562323.4463,1236486.651,21270742.44,18515014.93,9998108.064,3190611.366,5998864.838,2006174.82,401234.964,22033898.31,33050847.46,55084745.76,41791932.19,61791932.19,65082853.83,-3290921.634,-2632737.307,1886232.075,550847.4576,357214.6278
6/30/2020,15.63271313,0.0925,11808335.48,8263304.432,3545031.044,1688504.2,1856526.844,1656526.844,575300.1412,837950.6944,19046778.41,16293182.19,8963584.469,2857016.761,5378150.681,1771250.321,354250.0643,22542372.88,33813559.32,56355932.2,37111210.92,57111210.92,65319516.67,-8208305.757,-6566644.605,1485221.475,563559.322,317154.33
7/31/2020,15.77488914,0.0925,11690885.11,8186407.86,3504477.252,1731287.496,1773189.756,1573189.756,588276.8362,763307.5131,19121532.43,16095310.37,9018923.913,2868229.864,5411354.348,1753632.767,350726.5534,23050847.46,34576271.19,57627118.64,36970475.56,56970475.56,66646042.56,-9675566.993,-7740453.594,1418551.805,576271.1864,311371.1084
8/31/2020,15.76796178,0.0925,11418945.78,7995733.551,3423212.232,1769243.771,1653968.462,1453968.462,601253.5311,660854.0711,18934805.58,15675251.65,8944379.905,2840220.837,5366627.943,1712841.868,342568.3735,23559322.03,35338983.05,58898305.08,36322899.1,56322899.1,67842684.99,-11519785.89,-9215828.713,1323174.769,588983.0508,304252.3946
9/30/2020,15.7008033,0.0925,12251413.14,8576020.539,3675392.599,1805112.453,1870280.146,1670280.146,614230.226,818438.688,20592064.46,16764424.33,9738870.782,3088809.668,5843322.469,1837711.971,367542.3941,24067796.61,36101694.92,60169491.53,39194200.76,59194200.76,69908362.31,-10714161.55,-8571329.241,1496224.117,601694.9153,327729.2395
10/31/2020,15.69835922,0.0925,11585422.46,8109735.182,3475687.276,1843162.55,1632524.726,1432524.726,627206.9209,624121.299,19734490.8,15807110.95,9346813.43,2960173.619,5608088.058,1737813.369,347562.6737,24576271.19,36864406.78,61440677.97,37279415.11,57279415.11,70787491.4,-13508076.28,-10806461.03,1306019.781,614406.7797,309958.5784
