date,egp_usd_rate,cbe_corridor_rate,risk_free_rate_eg,inflation_rate
1/1/2020,15.73899206,0.0925,0.1225,0.06
1/2/2020,15.68914625,0.0925,0.1225,0.06
1/3/2020,15.75084355,0.0925,0.1225,0.06
1/4/2020,15.81955784,0.0925,0.1225,0.06
1/5/2020,15.68161896,0.0925,0.1225,0.06
1/6/2020,15.68162025,0.0925,0.1225,0.06
1/7/2020,15.82396821,0.0925,0.1225,0.06
1/8/2020,15.76024363,0.0925,0.1225,0.06
1/9/2020,15.66314626,0.0925,0.1225,0.06
1/10/2020,15.74259096,0.0925,0.1225,0.06
1/11/2020,15.66362171,0.0925,0.1225,0.06
1/12/2020,15.66344021,0.0925,0.1225,0.06
1/13/2020,15.71899404,0.0925,0.1225,0.06
1/14/2020,15.5498075,0.0925,0.1225,0.06
1/15/2020,15.56459395,0.0925,0.1225,0.06
1/16/2020,15.65586043,0.0925,0.1225,0.06
1/17/2020,15.62049276,0.0925,0.1225,0.06
1/18/2020,15.72466842,0.0925,0.1225,0.06
1/19/2020,15.62872011,0.0925,0.1225,0.06
1/20/2020,15.58913416,0.0925,0.1225,0.06
1/21/2020,15.81505343,0.0925,0.1225,0.06
1/22/2020,15.68227656,0.0925,0.1225,0.06
1/23/2020,15.70530096,0.0925,0.1225,0.06
1/24/2020,15.58815727,0.0925,0.1225,0.06
1/25/2020,15.65726596,0.0925,0.1225,0.06
1/26/2020,15.70870742,0.0925,0.1225,0.06
1/27/2020,15.609647,0.0925,0.1225,0.06
1/28/2020,15.72949229,0.0925,0.1225,0.06
1/29/2020,15.65284986,0.0925,0.1225,0.06
1/30/2020,15.67710204,0.0925,0.1225,0.06
1/31/2020,15.65276603,0.0925,0.1225,0.06
2/1/2020,15.84540384,0.0925,0.1225,0.06
2/2/2020,15.69894047,0.0925,0.1225,0.06
2/3/2020,15.61696969,0.0925,0.1225,0.06
2/4/2020,15.76456978,0.0925,0.1225,0.06
2/5/2020,15.60416377,0.0925,0.1225,0.06
2/6/2020,15.71639579,0.0925,0.1225,0.06
2/7/2020,15.5461659,0.0925,0.1225,0.06
2/8/2020,15.5957374,0.0925,0.1225,0.06
2/9/2020,15.71545361,0.0925,0.1225,0.06
2/10/2020,15.75796963,0.0925,0.1225,0.06
2/11/2020,15.71345241,0.0925,0.1225,0.06
2/12/2020,15.69092161,0.0925,0.1225,0.06
2/13/2020,15.67636336,0.0925,0.1225,0.06
2/14/2020,15.58393602,0.0925,0.1225,0.06
2/15/2020,15.64349223,0.0925,0.1225,0.06
2/16/2020,15.66383986,0.0925,0.1225,0.06
2/17/2020,15.78298409,0.0925,0.1225,0.06
2/18/2020,15.72697404,0.0925,0.1225,0.06
2/19/2020,15.56160135,0.0925,0.1225,0.06
2/20/2020,15.72544059,0.0925,0.1225,0.06
2/21/2020,15.66977104,0.0925,0.1225,0.06
2/22/2020,15.64686162,0.0925,0.1225,0.06
2/23/2020,15.74801659,0.0925,0.1225,0.06
2/24/2020,15.78093346,0.0925,0.1225,0.06
2/25/2020,15.77310549,0.0925,0.1225,0.06
2/26/2020,15.63412142,0.0925,0.1225,0.06
2/27/2020,15.67572683,0.0925,0.1225,0.06
2/28/2020,15.72600418,0.0925,0.1225,0.06
2/29/2020,15.77658029,0.0925,0.1225,0.06
3/1/2020,15.66238482,0.0925,0.1225,0.06
3/2/2020,15.68542577,0.0925,0.1225,0.06
3/3/2020,15.6131527,0.0925,0.1225,0.06
3/4/2020,15.60609778,0.0925,0.1225,0.06
3/5/2020,15.76378328,0.0925,0.1225,0.06
3/6/2020,15.80646484,0.0925,0.1225,0.06
3/7/2020,15.69434721,0.0925,0.1225,0.06
3/8/2020,15.77877733,0.0925,0.1225,0.06
3/9/2020,15.72838843,0.0925,0.1225,0.06
3/10/2020,15.6493581,0.0925,0.1225,0.06
3/11/2020,15.72836956,0.0925,0.1225,0.06
3/12/2020,15.82073587,0.0925,0.1225,0.06
3/13/2020,15.69718766,0.0925,0.1225,0.06
3/14/2020,15.82282453,0.0925,0.1225,0.06
3/15/2020,15.49435001,0.0925,0.1225,0.06
3/16/2020,15.76451935,0.0925,0.1225,0.06
3/17/2020,15.70683319,0.0925,0.1225,0.06
3/18/2020,15.67652792,0.0925,0.1225,0.06
3/19/2020,15.70720322,0.0925,0.1225,0.06
3/20/2020,15.54397584,0.0925,0.1225,0.06
3/21/2020,15.68275576,0.0925,0.1225,0.06
3/22/2020,15.72803334,0.0925,0.1225,0.06
3/23/2020,15.81601468,0.0925,0.1225,0.06
3/24/2020,15.65931579,0.0925,0.1225,0.06
3/25/2020,15.63653325,0.0925,0.1225,0.06
3/26/2020,15.66061207,0.0925,0.1225,0.06
3/27/2020,15.77185907,0.0925,0.1225,0.06
3/28/2020,15.72580696,0.0925,0.1225,0.06
3/29/2020,15.65841382,0.0925,0.1225,0.06
3/30/2020,15.74029149,0.0925,0.1225,0.06
3/31/2020,15.70762059,0.0925,0.1225,0.06
4/1/2020,15.77603863,0.0925,0.1225,0.06
4/2/2020,15.64488883,0.0925,0.1225,0.06
4/3/2020,15.67427852,0.0925,0.1225,0.06
4/4/2020,15.66921951,0.0925,0.1225,0.06
4/5/2020,15.58511408,0.0925,0.1225,0.06
4/6/2020,15.72324544,0.0925,0.1225,0.06
4/7/2020,15.72049284,0.0925,0.1225,0.06
4/8/2020,15.70040141,0.0925,0.1225,0.06
4/9/2020,15.68158491,0.0925,0.1225,0.06
4/10/2020,15.5888934,0.0925,0.1225,0.06
4/11/2020,15.66697934,0.0925,0.1225,0.06
4/12/2020,15.67309691,0.0925,0.1225,0.06
4/13/2020,15.63702123,0.0925,0.1225,0.06
4/14/2020,15.68733907,0.0925,0.1225,0.06
4/15/2020,15.73171799,0.0925,0.1225,0.06
4/16/2020,15.84806559,0.0925,0.1225,0.06
4/17/2020,15.71370436,0.0925,0.1225,0.06
4/18/2020,15.72021771,0.0925,0.1225,0.06
4/19/2020,15.694156,0.0925,0.1225,0.06
4/20/2020,15.54937646,0.0925,0.1225,0.06
4/21/2020,15.69791866,0.0925,0.1225,0.06
